ID,Start time,Completion time,Email,Gender,Age,Closest biggest city near you,Number of kids (<18y) living with you,Birth Year,Number of modules completed so far,Average mark so far,Prediction for this module's mark,I enjoy working with data,I am excited about working with data,I am afraid of working with data,I am interested in understanding Data Analytics,I plan to work hard in this module,"Height (absolute value, in centimeters (cm) - sorry imperial system users!)",Height (relative)
2,12/17/20 9:09:33,12/17/20 9:10:55,anonymous,Woman,40-49,Lagos ,0,1975,5,62,62,Agree,Agree,Completely Disagree,Agree,Agree,175,very tall
3,12/17/20 9:09:27,12/17/20 9:11:01,anonymous,Man,30-39,Dhaka,0,1011986,5,57,65,Agree,Agree,Completely Disagree,Agree,Agree,172,average
4,12/17/20 9:09:34,12/17/20 9:14:39,anonymous,Man,30-39,Hanoi,0,1989,5,61,64,Agree,Meh,Disagree,Meh,Meh,178,average
5,12/17/20 9:19:54,12/17/20 9:27:03,anonymous,Woman,50-59,Stockholm,0,1970,5,60,100,Agree,Agree,Completely Disagree,Agree,Completely Agree,164,average
6,12/17/20 9:28:13,12/17/20 9:35:44,anonymous,Man,40-49,Accra,3,1979,5,60,70,Completely Agree,Agree,Completely Disagree,Completely Agree,Meh,170,average
7,12/17/20 9:52:37,12/17/20 9:58:18,anonymous,Woman,40-49,Johannesburg ,2,1977,5,67,65,Completely Agree,Completely Agree,Completely Disagree,Completely Agree,Completely Agree,156,short
8,12/17/20 10:02:46,12/17/20 10:04:09,anonymous,Man,30-39,singapore,1,1983,5,62,62,Agree,Agree,Disagree,Agree,Agree,178,average
9,12/17/20 10:20:02,12/17/20 10:25:21,anonymous,Man,30-39,Zurich,1,1987,5,63,65,Agree,Meh,Agree,Completely Agree,Meh,185,tall
10,12/17/20 10:39:02,12/17/20 10:40:30,anonymous,Woman,40-49,Johannesburg,2,1977,5,68,65,Completely Agree,Agree,Completely Disagree,Completely Agree,Completely Agree,156,short
11,12/17/20 10:55:58,12/17/20 11:00:12,anonymous,Woman,30-39,Miami,1,1984,5,60,75,Agree,Agree,Disagree,Agree,Agree,165.1,average
12,12/17/20 10:57:17,12/17/20 11:00:21,anonymous,Man,50-59,Basingstoke,1,1964,5,65,70,Agree,Meh,Meh,Agree,Agree,81,average
13,12/17/20 10:57:08,12/17/20 11:00:50,anonymous,Man,30-39,khartoum,2,1984,4,55,70,Agree,Agree,Completely Disagree,Completely Agree,Agree,174,average
14,12/17/20 10:57:07,12/17/20 11:03:46,anonymous,Man,50-59,Geneva,0,1962,5,65,70,Completely Agree,Completely Agree,Completely Disagree,Completely Agree,Completely Agree,183,average
15,12/17/20 11:02:01,12/17/20 11:06:24,anonymous,Man,40-49,Shanghai,1,1972,5,67,60,Agree,Agree,Completely Disagree,Completely Agree,Completely Agree,180,average
16,12/17/20 11:08:51,12/17/20 11:14:48,anonymous,Man,40-49,Pristina,2,1971,5,61,70,Agree,Meh,Disagree,Meh,Agree,187,tall
17,12/17/20 11:14:16,12/17/20 11:16:13,anonymous,Woman,50-59,Durban,0,1968,5,63,70,Meh,Meh,Meh,Agree,Meh,140,average
18,12/17/20 11:21:14,12/17/20 11:25:21,anonymous,Man,30-39,Baghdad ,1,1986,5,65,50,Agree,Agree,Disagree,Completely Agree,Completely Agree,172,average
19,12/17/20 11:53:53,12/17/20 12:02:22,anonymous,Man,40-49,San Carlos City,2,1976,5,58,70,Completely Agree,Completely Agree,Disagree,Completely Agree,Completely Agree,163,average
20,12/17/20 12:07:34,12/17/20 12:15:09,anonymous,Man,30-39,Lagos,1,1985,5,63,80,Agree,Agree,Disagree,Agree,Agree,171,tall
22,12/17/20 12:38:15,12/17/20 12:39:44,anonymous,Woman,20-29,London,0,1997,5,60,65,Meh,Meh,Disagree,Meh,Completely Agree,162,average
23,12/17/20 12:42:52,12/17/20 12:49:28,anonymous,Man,40-49,Kinshasa,3,1980,5,55,60,Completely Agree,Completely Agree,Completely Disagree,Completely Agree,Completely Agree,1.8,tall
24,12/17/20 13:19:52,12/17/20 13:23:36,anonymous,Man,30-39,Miami,0,1990,5,66,60,Agree,Meh,Meh,Agree,Completely Agree,177,average
25,12/17/20 13:19:02,12/17/20 13:23:54,anonymous,Woman,30-39,Singapore,0,1983,4,61.75,60,Agree,Completely Agree,Disagree,Completely Agree,Completely Agree,152,short
26,12/17/20 13:41:47,12/17/20 13:46:08,anonymous,Man,30-39,Doha,2,1984,5,62,70,Completely Agree,Completely Agree,Completely Disagree,Completely Agree,Completely Agree,179,tall
27,12/17/20 13:32:54,12/17/20 13:46:57,anonymous,Woman,40-49,Jerusalem,0,1971,5,61,65,Agree,Agree,Completely Disagree,Completely Agree,Completely Agree,163,average
28,12/17/20 13:46:18,12/17/20 13:50:37,anonymous,Woman,50-59,New Jersey,2,1970,5,65,75,Completely Agree,Completely Agree,Disagree,Completely Agree,Completely Agree,160.02,short
29,12/17/20 14:05:37,12/17/20 14:06:34,anonymous,Man,30-39,Seoul,0,1990,5,65,70,Completely Agree,Agree,Meh,Completely Agree,Completely Agree,177,average
30,12/17/20 14:24:53,12/17/20 14:27:14,anonymous,Man,40-49,Cork,0,1971,5,66,60,Completely Agree,Completely Agree,Completely Disagree,Completely Agree,Completely Agree,178,average
31,12/17/20 14:27:28,12/17/20 14:32:43,anonymous,Man,30-39,Lagos,3,1982,5,65.5,68,Agree,Agree,Disagree,Agree,Completely Agree,190,tall
32,12/17/20 14:33:17,12/17/20 14:35:05,anonymous,Man,50-59,Birmingham,0,15021965,5,65,95,Completely Agree,Agree,Disagree,Completely Agree,Completely Agree,188,tall
33,12/17/20 14:41:39,12/17/20 15:14:33,anonymous,Man,40-49,freetown,3,1977,5,55,55,Agree,Agree,Disagree,Agree,Agree,186,tall
34,12/17/20 15:15:13,12/17/20 15:17:54,anonymous,Man,30-39,Dubai ,3,1981,5,60,60,Completely Agree,Completely Agree,Disagree,Completely Agree,Completely Agree,182,tall
35,12/17/20 14:46:52,12/17/20 15:25:15,anonymous,Woman,40-49,Rabat,1,1975,4,64.25,68,Meh,Meh,Agree,Completely Agree,Completely Agree,173,tall
36,12/17/20 15:27:08,12/17/20 15:29:49,anonymous,Man,50-59,Kitwe,0,1963,5,51,50,Agree,Agree,Meh,Meh,Disagree,1.4,average
